question,a,b,c,d,e,f,g,h,i,j,key,chat,answer
11.n 80yo man presented with pain in his lower back and hip. he also complains of waking up in the night to go to the washroom and has urgency as well as dribbling. what is the most likely dx?,a. bph,b. prostatitis,c. uti,d. prostate carcinoma,e. bladder carcinoma,,,,,,"key: the key is d. prostate carcinoma. [age, nocturia, urgency and dribbling points towards prostate pathology. pain of lower back and hip points towards bony metastases from prostate cancer. blood test for psa; prostate biopsy; mri (if initial biopsy is negative, to decide repeat biopsy). treatment options: 1. active treatment [i) radical prostatectomy ii) radical radiotherapy iii) hormone therapy iv) brachytherapy v) pelvic radiotherapy vi) orchidectomy 2. active surveillance 3. watchful waiting 4. palliative care (source: nice)].",,
"12. an 18yo female has peri-orbital blisters. some of them are crusted, others secreting pinkish fluid. what is the most likely dx?",a. shingles,b. chicken pox,c. varicella,d. rubella,e. measles,,,,,,key: the key is a. shingles. [here ophthalmic division of trigeminal nerve is involved. typically shingles are unilateral].,,
13. a 29yo lady who is a bank manager is referred by the gp to the medical opc due to a long hx of tiredness and pain in the joints. an autoimmune screen result showed smooth muscle antibodies positive. what is the most appropriate next inv?,a. ecg,b. tft,c. lft,d. serum glucose,e. jejunal biopsy,,,,,,key: the key is c. lft. [a case of autoimmune hepatitis. autoimmune hepatitis is an uncommon cause of chronic hepatitis which if untreated can lead to cirrhosis. however with treatment outlook is very good. smooth muscle antibody is positive in autoimmune hepatitis. definitive investigation is liver biopsy. treated with steroid [start with high dose prednisolone]. azathioprine is commonly added with steroid to reduce its dose as steroid has more side effects than azathioprine].,,
"14. a 5yo with recurrent chest pain, finger clubbing with offensive stool. choose the single most likely inv?",a. endomyseal/alpha glidin antibody,b. sweat test,c. barium meal,d. ecg,e. glucose tolerance test,,,,,,"key: the key is b. sweat test. [recurrent chest pain from frequent lung infections including pneumonia or bronchitis.""clubbing"" of the fingers is a classic features of cystic fibrosis, although not present in many patients.  the digestive enzymes are not being produced, food is not adequately digested (malabsorption) and excess fat and protein is lost in the stools, making them bulky, oily, smelly and difficult to flush away].",,
15. a clinical picture of breast cancer originated from the mammary duct. biopsy was done and there were neoplastic cells found. choose the histological picture of the cancer.,a. neoplastic cells are arranged in small clusters occupying a space between collagen bundles (seirrhous carcinoma),"b. spindle cell neoplasms with margins, which infiltrate adjacent structure, fat invaded (breast sarcoma)",c. small cells with round nucleus and scant indistinct cytoplasm (lobular carcinoma),,,,,,,,key: the key is c. small cells with round nucleus and scant indistinct cytoplasm (lobular carcinoma),,
16. a 22yo man has a reduced conscious level and a fixed dilated pupil after being involved in a mvc. choose the single most appropriate option?,a. facial nerve,b. oculomotor nerve,c. olfactory nerve,d. optic nerve,e. trigeminal nerve,,,,,,key: the key is b. oculomotor nerve. [3rd nerve damage can cause fixed dilated pupil].,,
17. a man with suspected active tb wants to be treated at home. what should be done to prevent the spread of disease?,a. immediate start of the tx with anti-tb drugs,b. all family members should be immediately vaccinated with bcg vaccine,c. patient should be isolated in a negative pressure chamber in his house,d. universal prevention application protocol,,,,,,,key: the key is d. universal prevention application protocol.,,
"18. a 7yo child is brought to the ed with a 1 day hx of being listless. on examination, the child is drowsy with an extensive non-blanching rash. what advice would you give the parents?",a. all family members need antibiotic therapy,b. only the mother should be given rifampicin prophylaxis,c. all family members need isolation,d. all family members should be given rifampicin prophylaxis,,,,,,,key: the key is d. all family members should be given rifampicin prophylaxis. [meningococcal disease. diagnosis is done with blood or csf pcr. initial prehospital management: benzyl penicillin or cefotaxime].,,
"19. a 47yo man has a temp of 39c and is delirious. he has developed blisters mainly on his trunk, which appeared a few hours ago. he is well and not on any medications. he last travelled 5 months ago to italy. which of the following is the most likely dx?",a. shingles,b. chicken pox,c. pemphigoid,d. bullous pemphigus,,,,,,,"key: the key is b. chicken pox. [centripetal distribution of blisters favours chickenpox. adults more commonly develop a more generalized brain inflammation (""encephalitis"") whose symptoms may include delirium and seizures. incubation period of chicken-pox is 10-21 days. so this travel history is not significant].",,
"20. a 64yo pt has been having freq episodes of secretory diarrhea, which is extremely watery, with large amounts of mucus. a dx of villous adenoma was made after endoscopy. what electrolyte abnormality is most likely in this pt?",a. hyperkalemia,b. hypernatremia,c. hyponatremia,d. hypokalemia,,,,,,,key: key not given. correct key is both c and d! [villous adenoma can cause both hyponatremia and hypokalemia].,,
21. a pt with an acute gout attack came to the ed. what drug should be given to relieve symptoms?,a. nsaids,b. allopurinol,c. ibuprofen,,,,,,,,key: the key is a. nsaids. [oral nsaids commenced immediately and continue for 1 – 2 weeks; colchicine can be effective alternative but is slower to work than nsaids. intra articular corticosteroids are highly effective in acute gouty monoarthritis.,,
"22. a pt was lying down on the operating table in a position with his arms hanging down for 3 hours. soon after he woke up, he complains of numbness and weakness in that hand and has limited wrist movement/wrist drop and sensory loss over dorsum of that hand, weakness of extension of the fingers and loss of sensation at the web of the thumb. what structure is likely to be damaged?",a. radial nerve,b. median nerve,c. ulnar nerve,d. axillary nerve,e. suprascapular nerve,,,,,,key: the key is a. radial nerve. [here arm hanging down compressing the radial nerve at the spiral groove is the cause of given scenario].,,
23. a pt who was previously on 120mg slow release oral morphine has had his dose increased to 200mg. he is still in significant pain. he complains of drowsiness and constipation. what is the next step in the management?,a. increase slow release morphine dose,b. fentanyl patch,c. replace morphine with oral hydromorphone,d. replace morphine with oxycodone,e. subcutaneous morphine,,,,,,key: the key is d. replace morphine with oxycodone.,,
"24. a 40yo woman notices increasing lower abdominal distention with little/no pain. on examination, a lobulated cystic mass is felt and it seems to be arising from the pelvis. what is the most appropriate inv?",a. ca 125,b. ca 153,c. ca 199,d. cea,e. afp,,,,,,key: the key is a. ca 125. [ovarian ca is the likely diagnosis for which tumour marker is ca 125].,,
"25. a resident of a nursing home presented with rashes in his finger webs and also on his abdomen, with complaints of itching which is severe at night. he was dx with scabies. what the best tx for his condition?",a. 0.5% permethrin,b. doxycycline,c. 5% permethrin,d. reassure,e. acyclovir,,,,,,key: the key is c. 5% permethrin. [scabies outbreaks in nursing homes and cases of crusted scabies may require combination therapy consisting of topical application of permethrin and 2 oral doses of ivermectin at 200 mcg/kg (administered 1 wk apart)].,,
26. a 34yo alcoholic is found passed out in front of a local pub. the ambulance crew informs you that he was sweating when they found him and there were cans of cider lying empty around him. what is the initial stage of inv?,a. capillary blood sugar,b. ct head,c. mri head,d. abg,e. mcv,,,,,,key: the key is a. capillary blood sugar. [alcohol induced hypoglycemia can present as this case].,,
27. a young boy fell on his outstretched hand and has presented with pain around the elbow. he has absent radial pulse on the affected hand. what is the most likely dx?,a. dislocated elbow,b. angulated supracondylar fx,c. undisplaced fx of radial head,d. posterior dislocation of shoulder,,,,,,,key: the key is b. angulated supracondyllar fx. [damage or occlusion of the bracheal artery is the cause of absent radial pulse. often closed reduction results in restoration of normal anatomy and correction of occlusion of bracheal artery and establishes circulation again but in few instances open reduction is required to fix the occluded artery].,,
28. a 65yo woman presented with transient arm and leg weakness as well as a sudden loss of vision in the left eye. her symptoms resolved within the next couple of hours. what is the most appropriate next inv?,a. ct brain,b. echo,c. doppler usg,d. arteriography,e. 24h ecg,,,,,,key: the key is c. [a case of tia. probable cause carotid artery atherosclerosis].,,
29. a man complains of loss of sensation in his little and ring finger. which nerve is most likely to be involved?,a. median nerve,b. ulnar nerve,c. radial nerve,d. long thoracic nerve,e. axillary nerve,,,,,,"key: the key is b. ulner nerve. [compression of ulner nerve at the elbow, known as cubital tunnel syndrome, causes numbness in the 5th (pinky) finger, along the half (lengthwise) of the 4th (ring) finger closest to the 5th finger, and the back half of the hand over the 5th finger].",,
30. a young man complains of double vision on seeing to the right. which nerve is most likely to be involved?,a. left abducens,b. right abducens,c. left trochlear,d. right trochlear,e. right oculomotor,,,,,,key: the key is b. right abducens. [diplopia on seeing to right indicates right lateral rectus palsy which is supplied by right abducent nerve].,,
"31. a 45yo man keeps having intrusive thoughts about having dirt under the bed. he can’t keep himself from thinking about these thoughts. if he tries to resist, he starts having palpitations. what is the most likely dx?",a. oc personality,b. ocd,c. schizophrenia,d. panic disorder,e. phobia,,,,,,key: the key is b. ocd. [here patients thoughts are obsession and though no compulsive act is described (like repeated cleansing of dirt) but his nature of thought like inability to resist the thinking or getting palpitation on trying to avoid thinking can be regarded as compulsion of thought. cbt 1st line. ssris].,,
32. a 33yo man presents with an itchy scaly annular rash on his thigh after a walk in the park. which of the following drugs will treat his condition?,a. erythromycin,b. doxycycline,c. penicillin,d. amoxicillin,,,,,,,key: the key is b. doxycycline. [itchy scaly annular rash after a walk in the park indicates erythema migrans caused by the spirochete borrelia burgdorferi transmitted by bite of pinhead-sized ixodes ticks leading to lyme disease].,,
33. a pt with cerebral mets has polyuria and polydipsia. what part of the brain would be affected?,a. cerebral cortex,b. cerebellum,c. diencephalon,d. pons,e. medulla,,,,,,"key: the key is c. diencephalon. [diencephalon is the caudal (posterior) part of the forebrain, containing the epithalamus, thalamus, hypothalamus, and ventral thalamus and the third ventricle. hypothalamus produce adh and hens lesion of diencephalon (hypothalsamus) may produce  cranial diabetes insipidus.",,
34. a 32yo man presented with painless hematuria. he is hypertensive but the rest of the exam is unremarkable. what is the most likely dx?,a. polycystic kidneys,b. ca bladder,c. ca prostate,d. ttp,e. hus,,,,,,key: the key is a. polycystic kidneys. [painless haematuria at an younger age with hypertension is suggestive of polycystic kidney disease. renal ultrasound is used to diagnose the condition].,,
35. a 45yo female complains of pain in the inner side of her right thigh. she was dx with benign ovarian mass on the right. which nerve is responsible for this pain?,a. femoral nerve,b. obturator nerve,c. iliohypogastric nerve,d. ovarian branch of splanchic nerve,e. pudendal nerve,,,,,,key: the key is b. obturator nerve. [the obturator nerve is responsible for the sensory innervation of the skin of the medial aspect of the thigh].,,
"36. a 37yo lady strongly believes that a famous politician has been sending her flowers every day and is in love with her. however, this is not the case. what is the most likely dx?",a. erotomania,b. pyromania,c. kleptomania,d. trichotillomania,e. grandiosity,,,,,,"key: 1. the key is a. erotomania. [erotomania is a type of delusion in which the affected person believes that another person, usually a stranger, high-status or famous person, is in love with them]. pyromania is an impulse control disorder in which individuals repeatedly fail to resist impulses to deliberately start fires, in order to relieve tension or for instant gratification. kleptomania is the inability to refrain from the urge to steal items. trichotillomania is an impulse disorder characterized by the compulsive urge to pull out one's hair, leading to noticeable hair loss and balding. grandiosity refers to an unrealistic sense of superiority.",,
37. a 3yo child has been brought with facial lacerations. on examination he has some cuts over his right cheek and under the eye. the gcs on initial evaluation is 15. what is the appropriate next inv?,a. skull xr,b. facial xr,c. ct scan,d. mri,e. observation,,,,,,key: the key is b. facial x-ray. [normal gcs makes intracranial lesion less likely. as there is facial injury to exclude any facial bone fracture we can do facial x-ray].,,
38. a 73yo woman has lymphadenopathy and splenomegaly. she feels well but has had recurrent chest infections recently. choose the single most likely blood film findings?,a. atypical lymphocytes,b. excess of mature lymphocytes,c. plasma cells,d. multiple immature granulocytes with blast cells,e. numerous blast cells,,,,,,"key: the key is b. excess of mature lymphocytes. [dx is cll. age of patient (usually above 50 yrs), lymhadenopathy and splenomegaly, appearance of lymphocytes (mature lymphocytes – but functionally not normal). repeated chest infection points towards abnormal function of lymphocytes against infection].",,
39. a lady presents with itching around the breast and greenish foul smelling discharge from the nipple. she had a similar episode before. what is the most likely dx?,a. duct papilloma,b. duct ectasia,c. breast abscess,d. periductal mastitis,e. mammary duct fistula,,,,,,key: the key is b. duct ectasia. [duct ectasia of the breast or mammary duct ectasia or plasma cell mastitis is a condition in which the lactiferous duct becomes blocked or clogged. this is the most common cause of greenish discharge. mammary duct ectasia can mimic breast cancer. it is a disorder of peri- or post-menopausal age].,,
"40. a young male whose sclera was noted to be yellow by his colleagues has a hx of taking otc drugs for some pain. tests showed raised bilirubin, alt and ast normal. the provocation test with iv nicotinic acid is positive and produces further rise in the serum bilirubin levels. what is the most likely dx?",a. acute hepatitis,b. drug hypersensitivity,c. gilberts syndrome,d. acute pancreatitis,,,,,,,key: the key is c. gilbert’s syndrome. [only bilirubin is increased but not the liver enzymes. also positive nicotinic acid provocation test is in its favour].,,
41.a 24yo biker has been rescued after being trapped under rocks for almost 12h. he complains of reddish brown urine. his creatinine is 350umol/l and his urea is 15mmol/l. what is the most imp step in the management of this patient?,a. dialysis,b. iv ns,c. iv dextrose,d. iv kcl,e. pain relief,,,,,,key: key is b. iv ns. [it is a case of rhabdomyolysis which is initially treated with iv ns].,,
42. a 74yo man who has been a smoker since he was 20 has recently been dx with sclc. what serum electrolyte picture will confirm the presence of siadh?,"a. high serum na, low serum osmolarity, high urine osmolarity","b. low serum na, low serum osmolarity, high urine osmolarity","c. low serum na, high serum osmolarity, high urine osmolarity","d. high serum na, low serum osmolarity, low urine osmolarity","e. high serum na, high serum osmolarity, low urine osmolarity",,,,,,"key: the key is b. low serum na, low serum osmolarity, high urine osmolarity.",,
43. a man brought into the ed after being stabbed in the chest. chest is bilaterally clear with muffled heart sounds. bp is 60/nil. pulse is 120bpm. jvp raised. what is the most likely dx?,a. pulmonary embolism,b. cardiac tamponade,c. pericardial effusion,d. hemothorax,e. pneumothorax,,,,,,"key: the key is b. cardiac tamponade. [chest is clear, so there is no pneumothorax or pleural effusion. muffled heart sound is due to fluid in pericardial space, low bp from reduced chamber expansion due to pericardial fluid’s pressure and restricted right heart expansion causes raised jvp].",,
44. a 50yo pt is admitted for elective herniorraphy. which of the following options will lead to a postponement of the operation?,a. sbp 110mmhg,b. mi 2 months ago,c. hgb 12g/dl,d. pain around hernia,e. abdominal distention,,,,,,"key: the key is b. mi 2 months ago. [after  mi elective surgery should not be done before 6 months post mi, as operation in earlier than this time has significant increase in mortality].",,
"45. a 32yo woman of 39wks gestation attends the antenatal day unit feeling very unwell with sudden onset of epigastric pain associated with nausea and vomiting. her temp is 36.7c. exam: she is found to have ruq tenderness. her blood results show mild anemia, low platelets, elevated liver enzymes and hemolysis. what is the most likely dx?",a. acute fatty liver of pregnancy,b. acute pyelonephritis,c. cholecystitis,d. hellp syndrome,e. acute hepatitis,,,,,,"key: the key is d. hellp syndrome. [hellp syndrome is a life-threatening liver disorder thought to be a type of severe preeclampsia. it is characterized by hemolysis (destruction of red blood cells), elevated liver enzymes (which indicate liver damage), and low platelet count. hellp is usually related to preeclampsia. the main treatment is to deliver the baby as soon as possible [as early as after 34 weeks if multisystem disease is present].",,
46. a woman comes with an ulcerated lesion 3 cm in the labia majorum. what is the lymphatic drainage of this area?,a. external iliac,b. superficial inguinal ln,c. para-aortic,d. iliac,e. aortic,,,,,,key: key is b. superficial inguinal ln.,,
"47. a man post-cholecystectomy presented with jaundice, fever and dark urine. what is the most diagnostic inv?",a. ercp,b. usg abdomen,c. ct scan,d. mrcp,e. mri,,,,,,"key: the key is a. ercp [post operative us will not give good results. we shall not go for ercp first as it has complications like injury and pancreatitis. acceptable options are ct, mri and mrcp among which most appropriate is mrcp! but as the question wants most diagnostic it is ercp (though not practical)!!! the diagnosis here is choledocolithiasis with cholangitis].",,
"48. a 79yo stumbled and sustained a minor head injury 2 weeks ago. he has become increasingly confused, drowsy and unsteady. he has a gcs of 13. he takes warfarin for afib. what is the most likely dx?",a. extradural hemorrhage,b. cerebellar hemorrhage,c. epidural hemorrhage,d. subdural hemorrhage,e. subarachnoid hemorrhage,,,,,,key: 1. the key is d. subdural hematoma. [in elderly head injury usually leads to subdural hematoma even if head injury is minor or trivial and extradural hematoma in elderly is extremely uncommon even in more severe head injury. management: 1st line: evacuation by barr hole craniostomy. 2nd line: craniotomy if the clot is organized. up to 3 weeks burrhole may be possible but longer than this clot is mostly organized and flap craniotomy is usually required].,,
49. a 25yo female complains of intermittent pain in her fingers. she describes episodes of numbness and burning of the fingers. she wears gloves whenever she leaves the house. what is the most probable dx?,a. kawasaki disease,b. takayasu arteritis,c. buerger’s disease,d. embolism,e. raynaud’s phenomenon,,,,,,key:  the key is e. raynaud’s phenomenon. [intermittent nature points towards some triggers and wearing of gloves during going out indicates cold weather. also female sex makes the diagnosis of raynaud’s phenomenon more likely].,,
50. a 22yo lady has been unwell for some time. she came to the hospital with complaints of fever and painful vesicles in her left ear. what is the most probable dx?,a. acne,b. herpes zoster,c. chicken pox,d. insect bite,e. cellulitis,,,,,,key: the key is b. herpes zoster. [this is a case of herpes zoster oticus and if facial nerve is also involved then it is called ramsay hunt syndrome].,,
"51. a 5yo girl had earache and some yellowish foul smelling discharge, perforation at the attic and conductive hearing loss. she has no past hx of any ear infections. what is the most appropriate dx?",a. acute om,b. om with effusion,c. acquired cholesteatoma,d. congenital cholesteatoma,e. otitis externa,,,,,,"key: the key is c. acquired cholesteatoma. [acquired cholesteatomas develop as a result of chronic middle ear infection and are usually associated with perforation of the tympanic membrane at the attic (mass is seen in attick with perforation at pars flaccida- in contrast to medial to tympanic membrane which is in congenital). clinical presentation usually consists of conductive hearing loss, often with purulent discharge from the ear]. in congenital: • mass medial to the tympanic membrane • normal tympanic membrane • no previous history of ear discharge, perforation or ear surgery. [discrepancy like no previous infection is the only point in favour of congenital here and may be due to a bad recall!!!]",,
52. a female with t1dm would like to know about a deficiency of vitamins in pregnancy that can be harmful. a deficiency of which vitamin can lead to teratogenic effects in the child?,a. folic acid,b. vit b12,c. thiamine,d. riboflavine.,e. pyridoxine,,,,,,key: the key is a. folic acid. [frequently associated with neural tube defect].,,
"53. a 23yo woman has been having pain at the base of her thumb, the pain is reproduced when lifting her 3 month old baby or changing diapers and also with forceful abduction of the thumb against resistance. what is the likely cause?",a. avascular necrosis of scaphoid,b. trigger finger.,c. de quervain’s tenosynovitis,,,,,,,,"key: the key is c. de quervain’s tenosiovitis. [can be diagnosed by finkelstein’s test: the physician grasps the thumb and the hand is ulnar deviated sharply. if sharp pain occurs along the distal radius (top of forearm, about an inch below the wrist), de quervain's syndrome is likely].",,
54. a 6m child presents with fever and cough. his mother has rushed him to the ed asking for help. exam: temp=39c and the child is feeding poorly. dx?,a. bronchiolitis,b. asthma,c. bronchitis,,,,,,,,"key: the key is a. bronchiolitis. [management: 1. oxygen inhalation 2. nasogastric feeding. don’t use: i) bronchodilator ii) steroid iii) antibiotics routinely. [ohcs, 9th edition, page-160]",,
55. a 75yo man collapsed while walking in his garden. he recovered fully within 30 mins with bp 110/80 mmhg and regular pulse of 70bpm. he has a systolic murmur on examination. his activities have been reduced lately which he attributes to old age. what is the definitive diagnostic inv that will assist you with his condition?,a. ecg,b. echo,c. 24h ecg monitoring,d. 24h bp monitoring,e. prv cin,,,,,,key: b. echo. [2 maind/d. aortic stenosis and hypertrophic cardiomyopathy. aortic stenosis – more likely in elderly.  and hypertrophic cardiomyopathy – less likely in this age].,,
56.  a 35yo man with a hx of schizophrenia is brought to the er by his friends due to drowsiness. on examination he is generally rigid. a dx of neuroleptic malignant syndrome except:,a. renal failure,b. pyrexia,c. elevated creatinine kinase,d. usually occurs after prolonged tx,e. tachycardia,,,,,,"key: the key is d. usually occurs after prolonged tx. [malignant neuroleptic syndrome usually occurs soon after start or in increasing dose of antipsychotic drugs! all others mentioned are seen in this syndrome like renal failure, pyrexia, elevated creatinine kinase, tachycardia etc].",,
57. a 33yo drug addict wants to quit. she says she is ready to stop the drug abuse. she is supported by her friends and family. what drug tx would you give her?,a. benzodiazepines,b. diazipoxide,c. lithium,d. methadone,e. disulfiram,,,,,,key: 1. key is d. methadone. (used in opiate abuse) key: 2. i) tobacco abuse: a) bupropion ii) alcohol: a) acamprosate b) disulfirum,,
"58. a 16m child presents with drooling, sore throat and loss of voice. he has fever with a temp of 38.2c. what is your next step towards management?",a. direct pharyngoscopy,b. call ent surgeon,c. call anesthesiologist,d. iv fuilds,e. start antibiotics,,,,,,key: 1.the key is c. call anesthesiologist. [as an expert to intubate]. key: 2. diagnosis is acute epiglottitis. key: 3. in given case urgent intubation is needed to secure airway to prevent closure of airway.,,
59. a 62yo woman complains of unsteadiness when walking. on examination she has pyramidal weakness of her left lower limb and reduced pain and temp sensation on right leg and right side of trunk up to the umbilicus. joint position sense is impaired at her left great toe but is normal elsewhere. she has a definite left extensor plantar response and the right plantar response is equivocal. where is the lesion?,a. left cervical cord,b. midline mid-thoracic cord,c. right mid-thoracic cord,d. left mid-thoracic cord,e. left lumbo-sacral plexus,,,,,,"key: 1. the key is d. left mid-thoracic cord. key: 2. brown-sequard syndrome. [in brown-sequard syndrome paralysis and loss of proprioception on the same (or ipsilateral) side as the injury or lesion, and loss of pain and temperature sensation on the opposite (or contralateral) side as the lesion].",,
60. a 26yo man presents to ed with increasing sob on left side and chest pain. he has been a heavy smoker for the past 4 years. he doesn’t have any past med hx. what is the likely dx?,a. pulmonary embolism,b. mi,c. asthma,d. pleural effusion,e. pneumothorax,,,,,,key: the key is e. pneumothorax. [increased shortness of breath and chest pain with no past medical history favours the dx of pneumothorax. heavy smoking or tobacco is a risk factor for spontaneous pneumothorax].,,
61. a pt with hepatocellular ca has raised levels of ferritin. what is the most probable cause?,a. hemochromatosis,b. a1 antitrypsin def,c. cystic fibrosis,,,,,,,,"key: the key is a. haemochromatosis. [hemochromatosis itself is a cause of hepatocellular carcinoma and associated with raised level of ferritin. serum ferritin levels elevated higher than 200 mcg/l in premenopausal women and 300 mcg/l in men and postmenopausal women indicate primary iron overload due to hemochromatosis, especially when associated with high transferrin saturation and evidence of liver disease. ferritin concentration higher than 1000 mcg/l suggests liver damage with fibrosis or cirrhosis].",,
62. a woman has electric pains in her face that start with the jaw and move upwards. her corneal reflexes are normal. what is the most likely dx?,a. atypical face pain,b. trigeminal neuralgia,c. tempero-mandibular joint dysfunction,d. gca,e. herpes zoster,,,,,,key: 1. key is b. trigeminal neuralgia. [electric pains in her face that starts with the jaw and moves upwards [this description indicates neurological pain of trigeminal nerve. in trigeminal neuralgia transient loss of corneal reflexs are seen just after attacks but in between attacks corneal reflexes are quite normal].,,
63. a 32yo man presented with slow progressive dysphagia. there is past hx of retro-sternal discomfort and he has been treated with prokinetics and h2 blockers. what is the probably dx?,a. foreign body,b. plummer vinson syndrome,c. pharyngeal puch,d. peptic stricture,e. esophageal ca,,,,,,key: 1. the key is d. peptic stricture. [progressive dysphagia to mostly solid is suggestive of peptic stricture which is supported here by the use of prokinetic drugs and h2 blockers which are used for reflux oesophagitis].,,
