question,a,b,c,d,e,f,g,h,i,j,key,chat,key_letter,gpt_letter,Unnamed: 15,0
11.n 80yo man presented with pain in his lower back and hip. he also complains of waking up in the night to go to the washroom and has urgency as well as dribbling. what is the most likely dx?,a. bph,b. prostatitis,c. uti,d. prostate carcinoma,e. bladder carcinoma,,,,,,"key: the key is d. prostate carcinoma. [age, nocturia, urgency and dribbling points towards prostate pathology. pain of lower back and hip points towards bony metastases from prostate cancer. blood test for psa; prostate biopsy; mri (if initial biopsy is negative, to decide repeat biopsy). treatment options: 1. active treatment [i) radical prostatectomy ii) radical radiotherapy iii) hormone therapy iv) brachytherapy v) pelvic radiotherapy vi) orchidectomy 2. active surveillance 3. watchful waiting 4. palliative care (source: nice)].","The correct answer is d. prostate carcinoma. The patient's symptoms of nocturia, urgency, and dribbling, along with pain in his lower back and hip, suggest prostate pathology. The presence of bone pain also raises suspicion of bony metastases from prostate cancer. A blood test for prostate-specific antigen (PSA) and a prostate biopsy should be performed to confirm the diagnosis. If the initial biopsy is negative, an MRI can help decide if a repeat biopsy is necessary. Treatment options include active treatment (radical prostatectomy, radical radiotherapy, hormone therapy, brachytherapy, pelvic radiotherapy, and orchidectomy), active surveillance, watchful waiting, and palliative care. BPH, prostatitis, UTI, and bladder carcinoma are less likely diagnoses given the patient's symptoms and age.",d,d,TRUE,
"12. an 18yo female has peri-orbital blisters. some of them are crusted, others secreting pinkish fluid. what is the most likely dx?",a. shingles,b. chicken pox,c. varicella,d. rubella,e. measles,,,,,,key: the key is a. shingles. [here ophthalmic division of trigeminal nerve is involved. typically shingles are unilateral].,"The most likely diagnosis for an 18-year-old female with peri-orbital blisters that are crusted and secreting pinkish fluid is shingles. Shingles is caused by the varicella-zoster virus, which is the same virus that causes chickenpox. However, chickenpox typically occurs in younger children and typically presents with more generalized rash rather than localized blisters. Rubella and measles are caused by different viruses and have different presentations than shingles. It is important to note that shingles typically involves the ophthalmic division of the trigeminal nerve and is usually unilateral. Therefore, based on the presented symptoms, shingles seems to be the most likely diagnosis.",a,a,TRUE,
13. a 29yo lady who is a bank manager is referred by the gp to the medical opc due to a long hx of tiredness and pain in the joints. an autoimmune screen result showed smooth muscle antibodies positive. what is the most appropriate next inv?,a. ecg,b. tft,c. lft,d. serum glucose,e. jejunal biopsy,,,,,,key: the key is c. lft. [a case of autoimmune hepatitis. autoimmune hepatitis is an uncommon cause of chronic hepatitis which if untreated can lead to cirrhosis. however with treatment outlook is very good. smooth muscle antibody is positive in autoimmune hepatitis. definitive investigation is liver biopsy. treated with steroid [start with high dose prednisolone]. azathioprine is commonly added with steroid to reduce its dose as steroid has more side effects than azathioprine].,"The most appropriate next investigation for a 29-year-old lady with positive smooth muscle antibodies and a long history of tiredness and joint pain is option C - LFT. Smooth muscle antibody positive results can indicate autoimmune hepatitis, which is an uncommon cause of chronic hepatitis that can lead to cirrhosis if left untreated. Therefore, LFT is needed to check for liver inflammation, which is essential to diagnose autoimmune hepatitis. In contrast, ECG (A) is used to monitor heart activity, TSH (B) is used to evaluate thyroid function, serum glucose (D) is used to screen for diabetes, and jejunal biopsy (E) is used in cases of malabsorption syndrome. None of these investigations are necessary at this point considering her symptoms and positivity for smooth muscle antibodies. In conclusion, LFT is the appropriate investigation to perform in this case.",c,c,TRUE,
"14. a 5yo with recurrent chest pain, finger clubbing with offensive stool. choose the single most likely inv?",a. endomyseal/alpha glidin antibody,b. sweat test,c. barium meal,d. ecg,e. glucose tolerance test,,,,,,"key: the key is b. sweat test. [recurrent chest pain from frequent lung infections including pneumonia or bronchitis.""clubbing"" of the fingers is a classic features of cystic fibrosis, although not present in many patients.  the digestive enzymes are not being produced, food is not adequately digested (malabsorption) and excess fat and protein is lost in the stools, making them bulky, oily, smelly and difficult to flush away].","The most likely investigation for a 5-year-old with recurrent chest pain, finger clubbing, and offensive stool is a sweat test, making option B the correct answer. The symptoms described are classic features of cystic fibrosis, a genetic disorder that affects the lungs and digestive system. The sweat test is used to measure the amount of salt in a person's sweat, as people with cystic fibrosis produce a higher than normal amount of salt in their sweat. Endomyseal/alpha glidin antibody, barium meal, ECG, and glucose tolerance tests are irrelevant and not useful in diagnosing cystic fibrosis. Therefore, the sweat test is the single most likely investigation to diagnose cystic fibrosis in a patient presenting with these specific symptoms.",b,b,TRUE,
15. a clinical picture of breast cancer originated from the mammary duct. biopsy was done and there were neoplastic cells found. choose the histological picture of the cancer.,a. neoplastic cells are arranged in small clusters occupying a space between collagen bundles (seirrhous carcinoma),"b. spindle cell neoplasms with margins, which infiltrate adjacent structure, fat invaded (breast sarcoma)",c. small cells with round nucleus and scant indistinct cytoplasm (lobular carcinoma),,,,,,,,key: the key is c. small cells with round nucleus and scant indistinct cytoplasm (lobular carcinoma),"The correct answer is c, small cells with round nucleus and scant indistinct cytoplasm, which is the histological picture of lobular carcinoma. This type of breast cancer originates from the milk-producing glands and is composed of tumor cells that grow in a single-file pattern within the affected tissue. The neoplastic cells in this type of cancer have a characteristic appearance of small, round nuclei and a lack of distinct cytoplasm. Answer a, seirrhous carcinoma, is characterized by neoplastic cells arranged in small clusters occupying the space between collagen bundles and is commonly found in invasive ductal breast carcinoma. Answer b, spindle cell neoplasms with infiltrating margins and fat invasion, is seen in breast sarcoma, a rare type of breast cancer that begins in the connective tissue of the breast. Therefore, the answer is c, lobular carcinoma, due to its characteristic histological appearance and origin in the milk-producing glands of the breast.",c,c,TRUE,
16. a 22yo man has a reduced conscious level and a fixed dilated pupil after being involved in a mvc. choose the single most appropriate option?,a. facial nerve,b. oculomotor nerve,c. olfactory nerve,d. optic nerve,e. trigeminal nerve,,,,,,key: the key is b. oculomotor nerve. [3rd nerve damage can cause fixed dilated pupil].,"The correct answer is b. oculomotor nerve because damage to the 3rd cranial nerve can cause a fixed dilated pupil. The other choices are incorrect because the facial nerve (a) does not have a direct role in eye dilation, the olfactory nerve (c) is responsible for smell and not vision, the optic nerve (d) is responsible for transmitting visual information, but not pupil dilation, and the trigeminal nerve (e) controls sensation in the face, but not pupil dilation. Therefore, the most appropriate option in this scenario is the oculomotor nerve.",b,b,TRUE,
17. a man with suspected active tb wants to be treated at home. what should be done to prevent the spread of disease?,a. immediate start of the tx with anti-tb drugs,b. all family members should be immediately vaccinated with bcg vaccine,c. patient should be isolated in a negative pressure chamber in his house,d. universal prevention application protocol,,,,,,,key: the key is d. universal prevention application protocol.,"The correct answer is A, immediate start of the treatment with anti-tb drugs. Treatment of active TB should always be initiated as soon as possible in order to prevent the spread of the disease. This is because TB is spread through the air when an infected person coughs or sneezes, and immediate treatment will reduce the number of bacteria that can be spread to others. Option B, all family members should be immediately vaccinated with BCG vaccine, is incorrect because the BCG vaccine may not provide complete protection against TB, and it is not recommended for all individuals. Option C, patient should be isolated in a negative pressure chamber in his house, is also incorrect as not all families have access to a negative pressure chamber and it is not practical for most people to be isolated in such a chamber for a prolonged period of time. Option D, universal prevention application protocol, is too vague and does not provide a clear answer to the question.",d,a,corrected,
"18. a 7yo child is brought to the ed with a 1 day hx of being listless. on examination, the child is drowsy with an extensive non-blanching rash. what advice would you give the parents?",a. all family members need antibiotic therapy,b. only the mother should be given rifampicin prophylaxis,c. all family members need isolation,d. all family members should be given rifampicin prophylaxis,,,,,,,key: the key is d. all family members should be given rifampicin prophylaxis. [meningococcal disease. diagnosis is done with blood or csf pcr. initial prehospital management: benzyl penicillin or cefotaxime].,"The correct answer is D, which states that all family members should be given rifampicin prophylaxis. This is because the child is exhibiting symptoms of meningococcal disease, which is a serious bacterial infection that can be transmitted through close contact with an infected person. Rifampicin can help prevent the spread of the infection to other family members who may be carriers of the bacteria. Choices A and B are incorrect as antibiotics should only be given to those who are diagnosed with the infection, and isolation is not necessary unless the individual is diagnosed with meningococcal meningitis. It is important for the child to be immediately transported to the hospital for further treatment.",d,d,TRUE,
"19. a 47yo man has a temp of 39c and is delirious. he has developed blisters mainly on his trunk, which appeared a few hours ago. he is well and not on any medications. he last travelled 5 months ago to italy. which of the following is the most likely dx?",a. shingles,b. chicken pox,c. pemphigoid,d. bullous pemphigus,,,,,,,"key: the key is b. chicken pox. [centripetal distribution of blisters favours chickenpox. adults more commonly develop a more generalized brain inflammation (""encephalitis"") whose symptoms may include delirium and seizures. incubation period of chicken-pox is 10-21 days. so this travel history is not significant].","Based on the provided information, the most likely diagnosis is b. chicken pox. The patient's presentation of blisters mainly on his trunk that appeared a few hours ago aligns with the centripetal distribution of blisters commonly seen in chicken pox. Additionally, the patient's age of 47 is not typical for a shingles outbreak, which is more common in individuals over 50. Moreover, pemphigoid and bullous pemphigus are autoimmune disorders and would not present with a sudden onset of a fever and delirium. The patient's travel history to Italy is not significant, as the incubation period for chicken pox is between 10-21 days, which is well beyond the 5 months since his travel. Therefore, based on the information provided, chicken pox is the most likely diagnosis.",b,b,TRUE,
"20. a 64yo pt has been having freq episodes of secretory diarrhea, which is extremely watery, with large amounts of mucus. a dx of villous adenoma was made after endoscopy. what electrolyte abnormality is most likely in this pt?",a. hyperkalemia,b. hypernatremia,c. hyponatremia,d. hypokalemia,,,,,,,key: key not given. correct key is both c and d! [villous adenoma can cause both hyponatremia and hypokalemia].,"In a 64-year-old patient with frequent episodes of secretory diarrhea, which is extremely watery, with large amounts of mucus, a diagnosis of villous adenoma was made after endoscopy. The electrolyte abnormality most likely to be seen in this patient is hypokalemia and hyponatremia. Villous adenoma can cause both of these electrolyte imbalances due to the excessive secretion of electrolyte-rich fluids from the colonic mucosa into the lumen. Therefore, options a and b, which suggest hyperkalemia and hypernatremia, respectively, are incorrect. Option c, hyponatremia, and option d, hypokalemia, are both possible outcomes, and therefore the correct answer is c and d. The excess loss of sodium and potassium in the secretory diarrhea can lead to the development of these electrolyte imbalances and prompt management will be necessary to prevent complications.",c or d,c or d,TRUE,
21. a pt with an acute gout attack came to the ed. what drug should be given to relieve symptoms?,a. nsaids,b. allopurinol,c. ibuprofen,,,,,,,,key: the key is a. nsaids. [oral nsaids commenced immediately and continue for 1 – 2 weeks; colchicine can be effective alternative but is slower to work than nsaids. intra articular corticosteroids are highly effective in acute gouty monoarthritis.,"The correct answer is a) NSAIDs. NSAIDs should be commenced immediately and continued for 1-2 weeks to relieve the symptoms of an acute gout attack. Colchicine is another option but is slower to take effect than NSAIDs. Intra-articular corticosteroids are highly effective in acute gouty monoarthritis but are typically reserved for cases where other treatments have failed. Allopurinol is not indicated in the acute phase of gout and is instead used as a preventive measure to reduce the frequency of gout attacks in patients with recurrent gout. Ibuprofen is a type of NSAID and may be a reasonable choice, but the answer choices indicate it as a separate option, making it an incorrect choice. Therefore, NSAIDs are the most suitable choice for the immediate relief of symptoms in a patient with an acute gout attack.",a,a,TRUE,
"22. a pt was lying down on the operating table in a position with his arms hanging down for 3 hours. soon after he woke up, he complains of numbness and weakness in that hand and has limited wrist movement/wrist drop and sensory loss over dorsum of that hand, weakness of extension of the fingers and loss of sensation at the web of the thumb. what structure is likely to be damaged?",a. radial nerve,b. median nerve,c. ulnar nerve,d. axillary nerve,e. suprascapular nerve,,,,,,key: the key is a. radial nerve. [here arm hanging down compressing the radial nerve at the spiral groove is the cause of given scenario].,"The likely source of the damage is the radial nerve. The position in which the patient was lying with their arms hanging down for an extended period of time compressed the radial nerve at the spiral groove, causing the symptoms of numbness, weakness, and limited movement in the affected hand. Additionally, the symptoms of wrist drop and sensory loss over the dorsum of the hand and weakness of extension of the fingers and loss of sensation at the web of the thumb are specific to injury of the radial nerve. The other nerves listed (median, ulnar, axillary, and suprascapular) are not typically affected by this position and would present with different symptoms if injured.",a,a,TRUE,
23. a pt who was previously on 120mg slow release oral morphine has had his dose increased to 200mg. he is still in significant pain. he complains of drowsiness and constipation. what is the next step in the management?,a. increase slow release morphine dose,b. fentanyl patch,c. replace morphine with oral hydromorphone,d. replace morphine with oxycodone,e. subcutaneous morphine,,,,,,key: the key is d. replace morphine with oxycodone.,"The correct answer to this question is d. Replace morphine with oxycodone. Increasing the slow release morphine dose (a) may only exacerbate the patient's current side effects. Fentanyl patch (b) is not appropriate for this situation since the patient already has opioid-induced side effects. Oral hydromorphone (c) has a different potency than morphine, making it difficult to control the patient's pain and may also cause additional side effects. Subcutaneous morphine (e) is typically reserved for end-of-life care and not appropriate for this patient's current situation. Therefore, replacing morphine with oxycodone is the optimal next step as it provides a different mechanism of action and can help alleviate the patient's current side effects.",d,d,TRUE,
"24. a 40yo woman notices increasing lower abdominal distention with little/no pain. on examination, a lobulated cystic mass is felt and it seems to be arising from the pelvis. what is the most appropriate inv?",a. ca 125,b. ca 153,c. ca 199,d. cea,e. afp,,,,,,key: the key is a. ca 125. [ovarian ca is the likely diagnosis for which tumour marker is ca 125].,"The correct answer to the question is a. Ca 125. This is because ca 125 is a tumor marker that is commonly associated with epithelial ovarian cancer, which is the most likely diagnosis in this case. Ca 153 and ca 199 are also tumor markers, but they are not associated with ovarian cancer. CEA and AFP are tumor markers for colon cancer and germ line tumors respectively, which are not relevant to this case. In summary, the most appropriate investigation for a 40-year-old woman with a lobulated cystic mass arising from the pelvis and increasing lower abdominal distention is ca 125, as this is the most sensitive and specific tumor marker for ovarian cancer.",a,a,TRUE,
"25. a resident of a nursing home presented with rashes in his finger webs and also on his abdomen, with complaints of itching which is severe at night. he was dx with scabies. what the best tx for his condition?",a. 0.5% permethrin,b. doxycycline,c. 5% permethrin,d. reassure,e. acyclovir,,,,,,key: the key is c. 5% permethrin. [scabies outbreaks in nursing homes and cases of crusted scabies may require combination therapy consisting of topical application of permethrin and 2 oral doses of ivermectin at 200 mcg/kg (administered 1 wk apart)].,"The best treatment for scabies in a nursing home resident with rashes in finger webs and abdomen associated with severe itching at night is c. 5% permethrin. Permethrin is a topical insecticide that kills scabies mites and their eggs. Doxycycline is not effective against scabies as it is an antibiotic used to treat bacterial infections. Reassurance and acyclovir are also not recommended for scabies treatment. Therefore, the correct answer is c. 5% permethrin as it is a first-line treatment for scabies and has been proven effective in managing scabies outbreaks, especially in nursing homes. It is worth noting that in cases of crusted scabies, combination therapy consisting of topical permethrin and oral doses of ivermectin may be necessary.",c,c,TRUE,
26. a 34yo alcoholic is found passed out in front of a local pub. the ambulance crew informs you that he was sweating when they found him and there were cans of cider lying empty around him. what is the initial stage of inv?,a. capillary blood sugar,b. ct head,c. mri head,d. abg,e. mcv,,,,,,key: the key is a. capillary blood sugar. [alcohol induced hypoglycemia can present as this case].,"The correct answer is a. Capillary blood sugar. This is because alcohol-induced hypoglycemia is a possible presentation in this case. Sweating and empty cans of cider suggest that the individual may be experiencing an alcohol-induced hypoglycemic episode, where their blood sugar levels become dangerously low due to alcohol intake. Checking their capillary blood sugar is crucial as it provides an indicator of their blood sugar levels at that moment and helps determine the appropriate course of action. The other choices are not relevant in this case because a CT or MRI of the head or an arterial blood gas analysis are not necessary for diagnosing hypoglycemia. Similarly, mean corpuscular volume (MCV) is a measure of the size of red blood cells and is not useful in diagnosing an alcohol-induced hypoglycemic episode.",a,a,TRUE,
27. a young boy fell on his outstretched hand and has presented with pain around the elbow. he has absent radial pulse on the affected hand. what is the most likely dx?,a. dislocated elbow,b. angulated supracondylar fx,c. undisplaced fx of radial head,d. posterior dislocation of shoulder,,,,,,,key: the key is b. angulated supracondyllar fx. [damage or occlusion of the bracheal artery is the cause of absent radial pulse. often closed reduction results in restoration of normal anatomy and correction of occlusion of bracheal artery and establishes circulation again but in few instances open reduction is required to fix the occluded artery].,"The most likely diagnosis for a young boy who fell on his outstretched hand and presents with pain around the elbow and absent radial pulse on the affected hand is angulated supracondylar fracture. The absence of a radial pulse suggests an interruption of blood flow in the brachial artery, which can occur due to the fracture fragment causing a physical obstruction or due to stretching of the artery at the time of injury. It is important to note that closed reduction can usually restore normal anatomy and re-establish circulation, but in rare instances, open reduction may be required to fix the occluded artery. Dislocated elbow, undisplaced fracture of radial head or posterior dislocation of shoulder are less likely diagnoses in this scenario and are not associated with absent radial pulse.",b,b,TRUE,
