,question,a,b,c,d,e,f,g,k,l,m,answer,h,i,j,chatgpt
10,11. an 80yo man presented with pain in his lower back and hip. he also complains of waking up in the night to go to the washroom and has urgency as well as dribbling. what is the most likely dx? ,a. bph,b. prostatitis,c. uti,d. Prostate carcinoma,e. bladder carcinoma,,,,,,"ans. the key is d. prostate carcinoma. [age, nocturia, urgency and dribbling points towards prostate pathology. pain of lower back and hip points towards bony metastases from prostate cancer. blood test for psa; prostate biopsy; mri (if initial biopsy is negative, to decide repeat biopsy). treatment options: 1. active treatment [i) radical prostatectomy ii) radical radiotherapy iii) hormone therapy iv) brachytherapy v) pelvic radiotherapy vi) orchidectomy 2. active surveillance 3. watchful waiting 4. palliative care (source: nice)]. 12. an 18yo female has peri-orbital blisters. some of them are crusted, others secreting pinkish fluid. ",,,,
11,"12. an 18yo female has peri-orbital blisters. some of them are crusted, others secreting pinkish fluid. what is the most likely dx? ",a. shingles,b. chicken pox,c. varicella,d. Rubella,e. measles,,,,,,ans. the key is a. shingles. [here ophthalmic division of trigeminal nerve is involved. typically shingles are unilateral]. 13. a 29yo lady who is a bank manager is referred by the gp to the medical opc due to a long hx of ,,,,
12,13. a 29yo lady who is a bank manager is referred by the gp to the medical opc due to a long hx of tiredness and pain in the joints. an autoimmune screen result showed smooth muscle antibodies positive. what is the most appropriate next inv? ,a. ecg,b. tft,c. lft,d. Serum glucose,e. jejunal biopsy,,,,,,"ans. the key is c. lft. [a case of autoimmune hepatitis. autoimmune hepatitis is an uncommon cause of chronic hepatitis which if untreated can lead to cirrhosis. however with treatment outlook is very good. smooth muscle antibody is positive in autoimmune hepatitis. definitive investigation is liver biopsy. treated with steroid [start with high dose prednisolone]. azathioprine is commonly added with steroid to reduce its dose as steroid has more side effects than azathioprine]. 14. a 5yo with recurrent chest pain, finger clubbing with offensive stool. choose the single most ",,,,
13,"14. a 5yo with recurrent chest pain, finger clubbing with offensive stool. choose the single most likely inv? ",a. endomyseal/alpha glidin antibody,b. sweat test,c. barium meal,d. ECG,e. glucose tolerance test,,,,,,"ans. the key is b. sweat test. [recurrent chest pain from frequent lung infections including pneumonia or bronchitis.""clubbing"" of the fingers is a classic features of cystic fibrosis, although not present in many patients. the digestive enzymes are not being produced, food is not adequately digested (malabsorption) and excess fat and protein is lost in the stools, making them bulky, oily, smelly and difficult to flush away]. 15. a clinical picture of breast cancer originated from the mammary duct. biopsy was done and there were neoplastic cells found. choose the histological picture of the cancer. ",,,,
14,15. a clinical picture of breast cancer originated from the mammary duct. biopsy was done and there were neoplastic cells found. choose the histological picture of the cancer. ,a. neoplastic cells are arranged in small clusters occupying a space between collagen bundles (seirrhous carcinoma),"b. spindle cell neoplasms with margins, which infiltrate adjacent structure, fat invaded (breast sarcoma)",c. small cells with round nucleus and scant indistinct cytoplasm (lobular carcinoma),,,,,,,,ans. the key is c. small cells with round nucleus and scant indistinct cytoplasm (lobular carcinoma) 16. a 22yo man has a reduced conscious level and a fixed dilated pupil after being involved in a mvc. choose the single most appropriate option? ,,,,
15,16. a 22yo man has a reduced conscious level and a fixed dilated pupil after being involved in a mvc. choose the single most appropriate option? ,a. facial nerve,b. oculomotor nerve,c. olfactory nerve,d. Optic nerve,e. trigeminal nerve,,,,,,ans. the key is b. oculomotor nerve. [3rd nerve damage can cause fixed dilated pupil]. 17. a man with suspected active tb wants to be treated at home. what should be done to prevent ,,,,
16,17. a man with suspected active tb wants to be treated at home. what should be done to prevent the spread of disease? ,a. immediate start of the tx with anti-tb drugs,b. all family members should be immediately vaccinated with bcg vaccine,c. patient should be isolated in a negative pressure chamber in his house,d. Universal prevention application protocol,,,,,,,"ans. the key is d. universal prevention application protocol. 18. a 7yo child is brought to the ed with a 1 day hx of being listless. on examination, the child is drowsy with an extensive non-blanching rash. what advice would you give the parents? ",,,,
17,"18. a 7yo child is brought to the ed with a 1 day hx of being listless. on examination, the child is drowsy with an extensive non-blanching rash. what advice would you give the parents? ",a. all family members need antibiotic therapy,b. only the mother should be given rifampicin prophylaxis,c. all family members need isolation,d. All family members should be given rifampicin prophylaxis,,,,,,,"ans. the key is d. all family members should be given rifampicin prophylaxis. [meningococcal disease. diagnosis is done with blood or csf pcr. initial prehospital management: benzyl penicillin or cefotaxime]. 19. a 47yo man has a temp of 39c and is delirious. he has developed blisters mainly on his trunk, ",,,,
18,"19. a 47yo man has a temp of 39c and is delirious. he has developed blisters mainly on his trunk, which appeared a few hours ago. he is well and not on any medications. he last travelled 5 months ago to italy. which of the following is the most likely dx? ",a. shingles,b. chicken pox,c. pemphigoid,d. Bullous pemphigus,,,,,,,"ans. the key is b. chicken pox. [centripetal distribution of blisters favours chickenpox. adults more commonly develop a more generalized brain inflammation (""encephalitis"") whose symptoms may include delirium and seizures. incubation period of chicken-pox is 10-21 days. so this travel history is not significant]. 20. a 64yo pt has been having freq episodes of secretory diarrhea, which is extremely watery, with large amounts of mucus. a dx of villous adenoma was made after endoscopy. what electrolyte ",,,,
19,"20. a 64yo pt has been having freq episodes of secretory diarrhea, which is extremely watery, with large amounts of mucus. a dx of villous adenoma was made after endoscopy. what electrolyte abnormality is most likely in this pt? ",a. hyperkalemia,b. hypernatremia,c. hyponatremia,d. Hypokalemia,,,,,,,ans. key not given. correct key is both c and d! [villous adenoma can cause both hyponatremia and hypokalemia]. 21. a pt with an acute gout attack came to the ed. what drug should be given to relieve symptoms? ,,,,
20,21. a pt with an acute gout attack came to the ed. what drug should be given to relieve symptoms? ,a. nsaids,b. allopurinol,c. ibuprofen,,,,,,,,ans. the key is a. nsaids. [oral nsaids commenced immediately and continue for 1 – 2 weeks; colchicine can be effective alternative but is slower to work than nsaids. intra articular corticosteroids are highly effective in acute gouty monoarthritis. 22. a pt was lying down on the operating table in a position with his arms hanging down for 3 hours. ,,,,
21,"22. a pt was lying down on the operating table in a position with his arms hanging down for 3 hours. soon after he woke up, he complains of numbness and weakness in that hand and has limited wrist movement/wrist drop and sensory loss over dorsum of that hand, weakness of extension of the fingers and loss of sensation at the web of the thumb. what structure is likely to be damaged? ",a. radial nerve,b. median nerve,c. ulnar nerve,d. Axillary nerve,e. suprascapular nerve,,,,,,ans. the key is a. radial nerve. [here arm hanging down compressing the radial nerve at the spiral groove is the cause of given scenario]. 23. a pt who was previously on 120mg slow release oral morphine has had his dose increased to ,,,,
22,23. a pt who was previously on 120mg slow release oral morphine has had his dose increased to 200mg. he is still in significant pain. he complains of drowsiness and constipation. what is the next step in the management? ,a. increase slow release morphine dose,b. fentanyl patch,c. replace morphine with oral hydromorphone,d. Replace morphine with oxycodone,e. subcutaneous morphine,,,,,,ans. the key is d. replace morphine with oxycodone. 24. a 40yo woman notices increasing lower abdominal distention with little/no pain. on ,,,,
23,"24. a 40yo woman notices increasing lower abdominal distention with little/no pain. on examination, a lobulated cystic mass is felt and it seems to be arising from the pelvis. what is the most appropriate inv? ",a. ca 125,b. ca 153,c. ca 199,d. CEA,e. afp,,,,,,"ans. the key is a. ca 125. [ovarian ca is the likely diagnosis for which tumour marker is ca 125]. 25. a resident of a nursing home presented with rashes in his finger webs and also on his abdomen, ",,,,
24,"25. a resident of a nursing home presented with rashes in his finger webs and also on his abdomen, with complaints of itching which is severe at night. he was dx with scabies. what the best tx for his condition? ",a. 0.5% permethrin,b. doxycycline,c. 5% permethrin,d. Reassure,e. acyclovir,,,,,,ans. the key is c. 5% permethrin. [scabies outbreaks in nursing homes and cases of crusted scabies may require combination therapy consisting of topical application of permethrin and 2 oral doses of ivermectin at 200 mcg/kg (administered 1 wk apart)]. 26. a 34yo alcoholic is found passed out in front of a local pub. the ambulance crew informs you that he was sweating when they found him and there were cans of cider lying empty around him. what is the initial stage of inv? ,,,,
25,26. a 34yo alcoholic is found passed out in front of a local pub. the ambulance crew informs you that he was sweating when they found him and there were cans of cider lying empty around him. what is the initial stage of inv? ,a. capillary blood sugar,b. ct head,c. mri head,d. ABG,e. mcv,,,,,,ans. the key is a. capillary blood sugar. [alcohol induced hypoglycemia can present as this case]. 27. a young boy fell on his outstretched hand and has presented with pain around the elbow. he has absent radial pulse on the affected hand. what is the most likely dx? ,,,,
26,27. a young boy fell on his outstretched hand and has presented with pain around the elbow. he has absent radial pulse on the affected hand. what is the most likely dx? ,a. dislocated elbow,b. angulated supracondylar fx,c. undisplaced fx of radial head,d. Posterior dislocation of shoulder,,,,,,,ans. the key is b. angulated supracondyllar fx. [damage or occlusion of the bracheal artery is the cause of absent radial pulse. often closed reduction results in restoration of normal anatomy and correction of occlusion of bracheal artery and establishes circulation again but in few instances open reduction is required to fix the occluded artery]. 28. a 65yo woman presented with transient arm and leg weakness as well as a sudden loss of vision ,,,,
27,28. a 65yo woman presented with transient arm and leg weakness as well as a sudden loss of vision in the left eye. her symptoms resolved within the next couple of hours. what is the most appropriate next inv? ,a. ct brain,b. echo,c. doppler usg,d. Arteriography,e. 24h ecg,,,,,,ans. the key is c. [a case of tia. probable cause carotid artery atherosclerosis]. 29. a man complains of loss of sensation in his little and ring finger. which nerve is most likely to be ,,,,
28,29. a man complains of loss of sensation in his little and ring finger. which nerve is most likely to be involved? ,a. median nerve,b. ulnar nerve,c. radial nerve,d. Long thoracic nerve,e. axillary nerve,,,,,,"ans. the key is b. ulner nerve. [compression of ulner nerve at the elbow, known as cubital tunnel syndrome, causes numbness in the 5th (pinky) finger, along the half (lengthwise) of the 4th (ring) finger closest to the 5th finger, and the back half of the hand over the 5th finger]. 30. a young man complains of double vision on seeing to the right. which nerve is most likely to be ",,,,
29,30. a young man complains of double vision on seeing to the right. which nerve is most likely to be involved? ,a. left abducens,b. right abducens,c. left trochlear,d. Right trochlear,e. right oculomotor,,,,,,ans. the key is b. right abducens. [diplopia on seeing to right indicates right lateral rectus palsy which is supplied by right abducent nerve]. 31. a 45yo man keeps having intrusive thoughts about having dirt under the bed. he can’t keep ,,,,
30,"31. a 45yo man keeps having intrusive thoughts about having dirt under the bed. he can’t keep himself from thinking about these thoughts. if he tries to resist, he starts having palpitations. what is the most likely dx? ",a. oc personality,b. ocd,c. schizophrenia,d. Panic disorder,e. phobia,,,,,,ans. the key is b. ocd. [here patients thoughts are obsession and though no compulsive act is described (like repeated cleansing of dirt) but his nature of thought like inability to resist the thinking or getting palpitation on trying to avoid thinking can be regarded as compulsion of thought. cbt 1st line. ssris]. 32. a 33yo man presents with an itchy scaly annular rash on his thigh after a walk in the park. which ,,,,
31,32. a 33yo man presents with an itchy scaly annular rash on his thigh after a walk in the park. which of the following drugs will treat his condition? ,a. erythromycin,b. doxycycline,c. penicillin,d. Amoxicillin,,,,,,,ans. the key is b. doxycycline. [itchy scaly annular rash after a walk in the park indicates erythema migrans caused by the spirochete borrelia burgdorferi transmitted by bite of pinhead-sized ixodes ticks leading to lyme disease]. 33. a pt with cerebral mets has polyuria and polydipsia. what part of the brain would be affected? ,,,,
32,33. a pt with cerebral mets has polyuria and polydipsia. what part of the brain would be affected? ,a. cerebral cortex,b. cerebellum,c. diencephalon,d. Pons,e. medulla,,,,,,"ans. the key is c. diencephalon. [diencephalon is the caudal (posterior) part of the forebrain, containing the epithalamus, thalamus, hypothalamus, and ventral thalamus and the third ventricle. hypothalamus produce adh and hens lesion of diencephalon (hypothalsamus) may produce cranial diabetes insipidus. 34. a 32yo man presented with painless hematuria. he is hypertensive but the rest of the exam is ",,,,
33,34. a 32yo man presented with painless hematuria. he is hypertensive but the rest of the exam is unremarkable. what is the most likely dx? ,a. polycystic kidneys,b. ca bladder,c. ca prostate,d. TTP,e. hus,,,,,,ans. the key is a. polycystic kidneys. [painless haematuria at an younger age with hypertension is suggestive of polycystic kidney disease. renal ultrasound is used to diagnose the condition]. 35. a 45yo female complains of pain in the inner side of her right thigh. she was dx with benign ,,,,
34,35. a 45yo female complains of pain in the inner side of her right thigh. she was dx with benign ovarian mass on the right. which nerve is responsible for this pain? ,a. femoral nerve,b. obturator nerve,c. iliohypogastric nerve,d. Ovarian branch of splanchic nerve,e. pudendal nerve,,,,,,ans. the key is b. obturator nerve. [the obturator nerve is responsible for the sensory innervation of the skin of the medial aspect of the thigh]. 36. a 37yo lady strongly believes that a famous politician has been sending her flowers every day ,,,,
35,"36. a 37yo lady strongly believes that a famous politician has been sending her flowers every day and is in love with her. however, this is not the case. what is the most likely dx? ",a. erotomania,b. pyromania,c. kleptomania,d. Trichotillomania,e. grandiosity,,,,,,37. a 3yo child has been brought with facial lacerations. on examination he has some cuts over his ,,,,
36,37. a 3yo child has been brought with facial lacerations. on examination he has some cuts over his right cheek and under the eye. the gcs on initial evaluation is 15. what is the appropriate next inv? ,a. skull xr,b. facial xr,c. ct scan,d. MRI,e. observation,,,,,,ans. the key is b. facial x-ray. [normal gcs makes intracranial lesion less likely. as there is facial injury to exclude any facial bone fracture we can do facial x-ray]. 38. a 73yo woman has lymphadenopathy and splenomegaly. she feels well but has had recurrent ,,,,
37,,,,,,,,,,,,"1. a 65yo man presents with painless hematuria, ivu is normal, prostate is mildly enlarged with mild frequency. what is the most appropriate next step? a. us abdomen b. flexible cystoscopy c. mri d. nuclear imaging e. psa ans. the key is b. flexible cystoscopy. [painless hematuria in an elderly indicates carcinoma bladder for which flexible cystoscopy is done. here bep is not advanced to cause hemorrhage. there is mild enlargement of prostate and mild symptoms of prostration and hemorrhage is unlikely at this initial stage of bep which makes bladder cancer as the likely cause of painless hematuria. it is also less likely to be prostate cancer as symptoms of prostration are mild (indicates disease is not advanced). moreover bleeding in cancer prostate is less common]. 2. a 74yo smoker presented to his gp with cough and sob. exam revealed pigmentation of the oral mucosa and also over the palms and soles. tests show that he is diabetic and hypokalemic. what is the most probable dx? a. pseudocushing syndrome b. conns disease c. ectopic acth d. cushings disease e. hypothyroidism ans. the key is c. ectopic acth. [the patient is smoker and probably developed squamous cell lung cancer which is working as a tumour producing ectopic acth causing pigmentation. resulting raised cortisole is leading to diabetes and hypokalemia (though small cell carcinoma is usual cause but squamous cell carcinoma can produce ectopic acth as paraneoplastic syndrome also)]. 3. a 44yo woman has lost weight over 12 months. she has also noticed episodes where her heart beats rapidly and strongly. she has a regular pulse rate of 90bpm. her ecg shows sinus rhythm. what is the most appropriate inv to be done? a. thyroid antibodies b. tft c. ecg d. echocardiogram e. plasma glucose ans. the key is b. tft. [the patient has paroxysmal atrial fibrillation that is why there is no arrhythmia in between attacks. from the given option tft is the appropriate test as thyrotoxycosis is a leading cause of paroxysmal atrial fibrillation and this ladies weight loss also makes thyrotoxycosis as the probable cause here]. 4. a 79yo anorexic male complains of thirst and fatigue. he has symptoms of frequency, urgency and terminal dribbling. his urea and creatinine levels are high. his serum calcium is 1.9 and he is anemic. his bp is 165/95 mmhg. what is the most probable dx? a. bph b. prostate carcinoma c. chronic pyelonephritis d. benign nephrosclerosis ans. the key is b. prostate carcinoma. explanation for question no. 4: first to say in this case (almost all features goes in favour of prostatic carcinoma like- frequency, urgency and terminal dribbling are features of prostatism; age, anorexia and anaemia are constitutional features of carcinoma prostate and it would be accurate presentation if it was hypercalcaemia. but given calcium level is of hypocalcaemic level and it is the main cause of discrepancy to this question). renal failure from ureteral obstruction in carcinoma prostate is a common presentation. thirst is a feature of hypercalcaemia (here may be erroneously calcium level is given in hypocalcaemic level ; probably a bad recall). prostate biopsy is the confirmatory diagnosis and others like psa is suggestive. ***there are some suggestion that renal failure may be the cause of hypocalcemia. 5.  a. lofepramine b. dosulepin c. citalopram d. fluoxetine e. phenelzine ans. the key is c. citalopram. [among ssris sertraline is the drug of choice for ischemic heart disease. next choice is citalopram (as it is often related to torsades de pointes it is not 1st choice). if ssri cannot be used mirtazapine is recommended as next antidepressant]. 6. a 67yo man after a stroke, presents with left sided ptosis and constricted pupil. he also has loss of pain and temp on the right side of his body and left side of his face. which part of the brain is most likely affected? a. frontal cortex b. cerebellum c. pons d. medulla e. parietal cortex ans. the key is d. medulla. [the name of the condition is “lateral medullary syndrome” [ipsilateral horner syndrome and contralateral loss of pain and temperature sense]. 7. a 60yo man presents with dysphagia and pain on swallowing both solids and liquids. a barium meal shows gross dilatation of the esophagus with a smooth narrowing at the lower end of the esophagus. what is the single most likely cause of dysphagia? a. achalasia b. myasthenia gravis c. esophageal carcinoma d. esophageal web e. systemic sclerosis ans. the key is a. achalasia. [dysphagia for both solid and liquid or prominently liquid suggest achalasia where dysphagia to solid suggest stricture. also gross dilatation of oesophagus with smooth narrowing at lower end is seen in achalasia. in achalasia dysphagia is usually described as progressive]. 8. a man undergoes a pneumonectomy. after surgery, invs show hyponatremia. what could be the cause of the biochemical change? a. removal of hormonally active tumor b. excess dextrose c. excess colloid d. excessive k+ e. hemodilution ans. the key is a. removal of harmonically active tumour. [ectopic acth secreting tumour causes hypernatremia and body's homeostatic mechanism try to lower the level of high sodium and do a lesser degree though sodium remains in hypernatremic level or even it may be normal (this question does not mention any preoperative hypernatremia). removal of that tumour results in negative sodium balance for time being which results hyponatremia while gradually it tends to rise again to normal level]. 9. a pregnant lady came with pain in her calf muscle with local rise in temp to the antenatal clinic. what tx should be started? a. aspirin b. lmwh c. paracetamol d. cocodamol e. aspirin and heparin ans. the key is b. lmwh. [injections with low molecular weight heparin (lmwh) are usually used to treat pregnant women with dvt. lmwh is an anticoagulant, which means it prevents the blood clot getting bigger. it does not affect the developing baby ( ref: nhs.uk)].  10. a 53yo female presents with an acute painful hot knee joint. she is a known case of ra. on examination, the knee is red, tender and swollen. the hamstring muscles are in spasm. her temp is 38.5c and bp is 120/80mmhg. what is the single best next inv? a. joint aspiration for cytology and culture and sensitivity b. joint aspiration for positive birefrengent crystals c. joint aspiration for negative birefrengent crystals d. blood culture e. serum uric acid ans. the likely key is a. joint aspiration for cytology and culture and sensitivity. [case of septic arthritis. any chronically arthritic joint is predisposed to infection. moreover chronic use of steroid in rh. arthritis is one of the important predisposing factor. in this age group likely organism is staphylococcus. in younger age group neisseria gonorrhea is more common]. 11. an 80yo man presented with pain in his lower back and hip. he also complains of waking up in the night to go to the washroom and has urgency as well as dribbling. what is the most likely dx? a. bph b. prostatitis c. uti d. prostate carcinoma e. bladder carcinoma ans. the key is d. prostate carcinoma. [age, nocturia, urgency and dribbling points towards prostate pathology. pain of lower back and hip points towards bony metastases from prostate cancer. blood test for psa; prostate biopsy; mri (if initial biopsy is negative, to decide repeat biopsy). treatment options: 1. active treatment [i) radical prostatectomy ii) radical radiotherapy iii) hormone therapy iv) brachytherapy v) pelvic radiotherapy vi) orchidectomy 2. active surveillance 3. watchful waiting 4. palliative care (source: nice)]. 12. an 18yo female has peri-orbital blisters. some of them are crusted, others secreting pinkish fluid. what is the most likely dx? a. shingles b. chicken pox c. varicella d. rubella e. measles ans. the key is a. shingles. [here ophthalmic division of trigeminal nerve is involved. typically shingles are unilateral]. 13. a 29yo lady who is a bank manager is referred by the gp to the medical opc due to a long hx of tiredness and pain in the joints. an autoimmune screen result showed smooth muscle antibodies positive. what is the most appropriate next inv? a. ecg b. tft c. lft d. serum glucose e. jejunal biopsy ans. the key is c. lft. [a case of autoimmune hepatitis. autoimmune hepatitis is an uncommon cause of chronic hepatitis which if untreated can lead to cirrhosis. however with treatment outlook is very good. smooth muscle antibody is positive in autoimmune hepatitis. definitive investigation is liver biopsy. treated with steroid [start with high dose prednisolone]. azathioprine is commonly added with steroid to reduce its dose as steroid has more side effects than azathioprine]. 14. a 5yo with recurrent chest pain, finger clubbing with offensive stool. choose the single most likely inv? a. endomyseal/alpha glidin antibody b. sweat test c. barium meal d. ecg e. glucose tolerance test ans. the key is b. sweat test. [recurrent chest pain from frequent lung infections including pneumonia or bronchitis.""clubbing"" of the fingers is a classic features of cystic fibrosis, although not present in many patients. the digestive enzymes are not being produced, food is not adequately digested (malabsorption) and excess fat and protein is lost in the stools, making them bulky, oily, smelly and difficult to flush away]. 15. a clinical picture of breast cancer originated from the mammary duct. biopsy was done and there were neoplastic cells found. choose the histological picture of the cancer. a. neoplastic cells are arranged in small clusters occupying a space between collagen bundles (seirrhous carcinoma) b. spindle cell neoplasms with margins, which infiltrate adjacent structure, fat invaded (breast sarcoma) c. small cells with round nucleus and scant indistinct cytoplasm (lobular carcinoma) ans. the key is c. small cells with round nucleus and scant indistinct cytoplasm (lobular carcinoma) 16. a 22yo man has a reduced conscious level and a fixed dilated pupil after being involved in a mvc. choose the single most appropriate option? a. facial nerve b. oculomotor nerve c. olfactory nerve d. optic nerve e. trigeminal nerve ans. the key is b. oculomotor nerve. [3rd nerve damage can cause fixed dilated pupil]. 17. a man with suspected active tb wants to be treated at home. what should be done to prevent the spread of disease? a. immediate start of the tx with anti-tb drugs b. all family members should be immediately vaccinated with bcg vaccine c. patient should be isolated in a negative pressure chamber in his house d. universal prevention application protocol ans. the key is d. universal prevention application protocol. 18. a 7yo child is brought to the ed with a 1 day hx of being listless. on examination, the child is drowsy with an extensive non-blanching rash. what advice would you give the parents? a. all family members need antibiotic therapy b. only the mother should be given rifampicin prophylaxis c. all family members need isolation d. all family members should be given rifampicin prophylaxis ans. the key is d. all family members should be given rifampicin prophylaxis. [meningococcal disease. diagnosis is done with blood or csf pcr. initial prehospital management: benzyl penicillin or cefotaxime]. 19. a 47yo man has a temp of 39c and is delirious. he has developed blisters mainly on his trunk, ",,,,
